id,name,value,group,song
rhymes,,,
rhymes.i,,,rhymes.i,
rhymes.i.里,里,7798.0,rhymes.i,张信哲-难道
rhymes.i.自己,自己,7696.0,rhymes.i,Tank-是谁
rhymes.i.美丽,美丽,3008.0,rhymes.i,张信哲-难道
rhymes.i.回忆,回忆,2982.0,rhymes.i,胡夏-黑框眼镜
rhymes.i.忘记,忘记,2960.0,rhymes.i,陈瑞-鱼水情歌
rhymes.i.起,起,2641.0,rhymes.i,蔡琴-出人头地
rhymes.i.在一起,在一起,2628.0,rhymes.i,费玉清-奈何
rhymes.i.哭泣,哭泣,1928.0,rhymes.i,张信哲-难道
rhymes.i.心里,心里,1898.0,rhymes.i,满文军-最近最远的人
rhymes.i.哪里,哪里,1792.0,rhymes.i,龙飘飘-爱在那里爱
rhymes.i.分离,分离,1778.0,rhymes.i,费玉清-奈何
rhymes.i.放弃,放弃,1752.0,rhymes.i,郑智化-我的
rhymes.i.地,地,1542.0,rhymes.i,蔡琴-出人头地
rhymes.i.事,事,1516.0,rhymes.i,关淑怡-自言自语
rhymes.i.一次,一次,1438.0,rhymes.i,毛阿敏-投入地爱一次
rhymes.i.勇气,勇气,1435.0,rhymes.i,胡夏-黑框眼镜
rhymes.i.呼吸,呼吸,1427.0,rhymes.i,张清芳-呼喊快乐
rhymes.i.时,时,1396.0,rhymes.i,乌兰图雅-红红火火中国年
rhymes.i.故事,故事,1387.0,rhymes.i,关淑怡-自言自语
rhymes.i.心底,心底,1377.0,rhymes.i,何星烁RapStar-星
rhymes.i.可以,可以,1374.0,rhymes.i,许茹芸-给我一分钟不想你
rhymes.i.知,知,1331.0,rhymes.i,陈百强-亲爱的你
rhymes.i.记忆,记忆,1329.0,rhymes.i,王筝-爱情一直在经过
rhymes.i.甜蜜,甜蜜,1281.0,rhymes.i,陈瑞-鱼水情歌
rhymes.i.开始,开始,1277.0,rhymes.i,王筝-爱情一直在经过
rhymes.i.这里,这里,1271.0,rhymes.i,陈慧琳-离开
rhymes.i.珍惜,珍惜,1256.0,rhymes.i,张宇-大女人
rhymes.i.距离,距离,1190.0,rhymes.i,张信哲-难道
rhymes.i.意义,意义,1177.0,rhymes.i,Tank-是谁
rhymes.i.一起,一起,1169.0,rhymes.i,谭咏麟-感情回归
rhymes.i.死,死,1043.0,rhymes.i,陶晶莹-你本来就美
rhymes.ang,,,rhymes.ang,
rhymes.ang.地方,地方,3226.0,rhymes.ang,阿悄-小背叛
