singer_index,group,singer,year,freq
周杰伦_0_0,2000-2005,周杰伦,2000,1
周杰伦_0_0,2000-2005,周杰伦,2001,3
周杰伦_0_0,2000-2005,周杰伦,2002,2
周杰伦_0_0,2000-2005,周杰伦,2003,2
周杰伦_0_0,2000-2005,周杰伦,2004,1
周杰伦_0_0,2000-2005,周杰伦,2005,3
周杰伦_0_0,2000-2005,周杰伦,2006,3
周杰伦_0_0,2000-2005,周杰伦,2007,1
周杰伦_0_0,2000-2005,周杰伦,2008,3
周杰伦_0_0,2000-2005,周杰伦,2010,1
周杰伦_0_0,2000-2005,周杰伦,2011,2
周杰伦_0_0,2000-2005,周杰伦,2012,1
周杰伦_0_0,2000-2005,周杰伦,2014,1
周杰伦_0_0,2000-2005,周杰伦,2016,3
周杰伦_0_0,2000-2005,周杰伦,2018,2
周杰伦_0_0,2000-2005,周杰伦,2019,3
张杰_0_1,2000-2005,张杰,2005,1
张杰_0_1,2000-2005,张杰,2006,1
张杰_0_1,2000-2005,张杰,2007,1
张杰_0_1,2000-2005,张杰,2008,1
张杰_0_1,2000-2005,张杰,2009,1
张杰_0_1,2000-2005,张杰,2010,6
张杰_0_1,2000-2005,张杰,2011,4
张杰_0_1,2000-2005,张杰,2012,2
张杰_0_1,2000-2005,张杰,2013,1
张杰_0_1,2000-2005,张杰,2014,1
张杰_0_1,2000-2005,张杰,2015,7
张杰_0_1,2000-2005,张杰,2016,5
张杰_0_1,2000-2005,张杰,2017,3
张杰_0_1,2000-2005,张杰,2018,17
张杰_0_1,2000-2005,张杰,2019,8
杨坤_0_2,2000-2005,杨坤,2002,1
杨坤_0_2,2000-2005,杨坤,2003,1
杨坤_0_2,2000-2005,杨坤,2005,1
杨坤_0_2,2000-2005,杨坤,2007,2
杨坤_0_2,2000-2005,杨坤,2009,2
杨坤_0_2,2000-2005,杨坤,2010,1
杨坤_0_2,2000-2005,杨坤,2012,1
杨坤_0_2,2000-2005,杨坤,2013,2
杨坤_0_2,2000-2005,杨坤,2014,3
杨坤_0_2,2000-2005,杨坤,2016,2
杨坤_0_2,2000-2005,杨坤,2017,2
杨坤_0_2,2000-2005,杨坤,2018,1
杨坤_0_2,2000-2005,杨坤,2019,5
林俊杰_0_3,2000-2005,林俊杰,2003,1
林俊杰_0_3,2000-2005,林俊杰,2004,1
林俊杰_0_3,2000-2005,林俊杰,2005,1
林俊杰_0_3,2000-2005,林俊杰,2006,2
林俊杰_0_3,2000-2005,林俊杰,2007,3
林俊杰_0_3,2000-2005,林俊杰,2008,2
林俊杰_0_3,2000-2005,林俊杰,2009,1
林俊杰_0_3,2000-2005,林俊杰,2010,4
林俊杰_0_3,2000-2005,林俊杰,2011,2
林俊杰_0_3,2000-2005,林俊杰,2012,2
林俊杰_0_3,2000-2005,林俊杰,2013,1
林俊杰_0_3,2000-2005,林俊杰,2014,2
林俊杰_0_3,2000-2005,林俊杰,2015,6
林俊杰_0_3,2000-2005,林俊杰,2016,2
林俊杰_0_3,2000-2005,林俊杰,2017,5
林俊杰_0_3,2000-2005,林俊杰,2018,3
林俊杰_0_3,2000-2005,林俊杰,2019,5
蔡依林_0_4,2000-2005,蔡依林,1999,1
蔡依林_0_4,2000-2005,蔡依林,2000,2
蔡依林_0_4,2000-2005,蔡依林,2001,2
蔡依林_0_4,2000-2005,蔡依林,2002,1
蔡依林_0_4,2000-2005,蔡依林,2003,3
蔡依林_0_4,2000-2005,蔡依林,2004,3
蔡依林_0_4,2000-2005,蔡依林,2005,3
蔡依林_0_4,2000-2005,蔡依林,2006,5
蔡依林_0_4,2000-2005,蔡依林,2007,4
蔡依林_0_4,2000-2005,蔡依林,2008,1
蔡依林_0_4,2000-2005,蔡依林,2009,3
蔡依林_0_4,2000-2005,蔡依林,2010,2
蔡依林_0_4,2000-2005,蔡依林,2012,5
蔡依林_0_4,2000-2005,蔡依林,2013,2
蔡依林_0_4,2000-2005,蔡依林,2014,3
蔡依林_0_4,2000-2005,蔡依林,2016,3
蔡依林_0_4,2000-2005,蔡依林,2017,4
蔡依林_0_4,2000-2005,蔡依林,2018,3
蔡依林_0_4,2000-2005,蔡依林,2019,2
周笔畅_1_0,2006-2010,周笔畅,2006,2
周笔畅_1_0,2006-2010,周笔畅,2007,3
周笔畅_1_0,2006-2010,周笔畅,2009,1
周笔畅_1_0,2006-2010,周笔畅,2010,3
周笔畅_1_0,2006-2010,周笔畅,2011,2
周笔畅_1_0,2006-2010,周笔畅,2012,1
周笔畅_1_0,2006-2010,周笔畅,2013,2
周笔畅_1_0,2006-2010,周笔畅,2014,2
周笔畅_1_0,2006-2010,周笔畅,2015,9
周笔畅_1_0,2006-2010,周笔畅,2016,5
周笔畅_1_0,2006-2010,周笔畅,2017,6
周笔畅_1_0,2006-2010,周笔畅,2018,7
周笔畅_1_0,2006-2010,周笔畅,2019,6
李荣浩_1_1,2006-2010,李荣浩,2010,1
李荣浩_1_1,2006-2010,李荣浩,2013,1
李荣浩_1_1,2006-2010,李荣浩,2014,2
李荣浩_1_1,2006-2010,李荣浩,2015,2
李荣浩_1_1,2006-2010,李荣浩,2016,1
李荣浩_1_1,2006-2010,李荣浩,2017,2
李荣浩_1_1,2006-2010,李荣浩,2018,2
李荣浩_1_1,2006-2010,李荣浩,2019,2
林宥嘉_1_2,2006-2010,林宥嘉,2008,2
林宥嘉_1_2,2006-2010,林宥嘉,2009,3
林宥嘉_1_2,2006-2010,林宥嘉,2010,2
林宥嘉_1_2,2006-2010,林宥嘉,2011,3
林宥嘉_1_2,2006-2010,林宥嘉,2012,1
林宥嘉_1_2,2006-2010,林宥嘉,2013,2
林宥嘉_1_2,2006-2010,林宥嘉,2014,1
林宥嘉_1_2,2006-2010,林宥嘉,2015,1
林宥嘉_1_2,2006-2010,林宥嘉,2016,4
林宥嘉_1_2,2006-2010,林宥嘉,2017,6
林宥嘉_1_2,2006-2010,林宥嘉,2018,5
林宥嘉_1_2,2006-2010,林宥嘉,2019,2
薛之谦_1_3,2006-2010,薛之谦,2006,1
薛之谦_1_3,2006-2010,薛之谦,2007,1
薛之谦_1_3,2006-2010,薛之谦,2008,2
薛之谦_1_3,2006-2010,薛之谦,2009,1
薛之谦_1_3,2006-2010,薛之谦,2012,1
薛之谦_1_3,2006-2010,薛之谦,2013,1
薛之谦_1_3,2006-2010,薛之谦,2015,2
薛之谦_1_3,2006-2010,薛之谦,2016,4
薛之谦_1_3,2006-2010,薛之谦,2017,1
薛之谦_1_3,2006-2010,薛之谦,2018,1
薛之谦_1_3,2006-2010,薛之谦,2019,1
邓紫棋_1_4,2006-2010,邓紫棋,2008,1
邓紫棋_1_4,2006-2010,邓紫棋,2009,2
邓紫棋_1_4,2006-2010,邓紫棋,2010,2
邓紫棋_1_4,2006-2010,邓紫棋,2011,4
邓紫棋_1_4,2006-2010,邓紫棋,2012,3
邓紫棋_1_4,2006-2010,邓紫棋,2013,6
邓紫棋_1_4,2006-2010,邓紫棋,2014,3
邓紫棋_1_4,2006-2010,邓紫棋,2015,1
邓紫棋_1_4,2006-2010,邓紫棋,2016,12
邓紫棋_1_4,2006-2010,邓紫棋,2017,4
邓紫棋_1_4,2006-2010,邓紫棋,2018,7
邓紫棋_1_4,2006-2010,邓紫棋,2019,3
TFBOYS_2_0,2010-2015,TFBOYS,2013,1
TFBOYS_2_0,2010-2015,TFBOYS,2014,4
TFBOYS_2_0,2010-2015,TFBOYS,2015,5
TFBOYS_2_0,2010-2015,TFBOYS,2016,3
TFBOYS_2_0,2010-2015,TFBOYS,2017,4
TFBOYS_2_0,2010-2015,TFBOYS,2018,2
TFBOYS_2_0,2010-2015,TFBOYS,2019,2
华晨宇_2_1,2010-2015,华晨宇,2013,1
华晨宇_2_1,2010-2015,华晨宇,2014,1
华晨宇_2_1,2010-2015,华晨宇,2015,3
华晨宇_2_1,2010-2015,华晨宇,2016,11
华晨宇_2_1,2010-2015,华晨宇,2017,7
华晨宇_2_1,2010-2015,华晨宇,2018,2
华晨宇_2_1,2010-2015,华晨宇,2019,2
周深_2_2,2010-2015,周深,2014,4
周深_2_2,2010-2015,周深,2015,3
周深_2_2,2010-2015,周深,2016,3
