singer_index,group,singer,year,type
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2000,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2001,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2002,专辑
周杰伦_0_0,2000-2005,周杰伦,2003,专辑
周杰伦_0_0,2000-2005,周杰伦,2003,商业
周杰伦_0_0,2000-2005,周杰伦,2003,专辑
周杰伦_0_0,2000-2005,周杰伦,2003,专辑
