singer_index,group,singer,year,freq,num
周杰伦_0_0,2000-2005,周杰伦,2000,1,10
周杰伦_0_0,2000-2005,周杰伦,2001,3,19
周杰伦_0_0,2000-2005,周杰伦,2002,2,30
周杰伦_0_0,2000-2005,周杰伦,2003,2,13
周杰伦_0_0,2000-2005,周杰伦,2004,1,10
周杰伦_0_0,2000-2005,周杰伦,2005,3,39
周杰伦_0_0,2000-2005,周杰伦,2006,3,13
周杰伦_0_0,2000-2005,周杰伦,2007,1,10
周杰伦_0_0,2000-2005,周杰伦,2008,3,35
周杰伦_0_0,2000-2005,周杰伦,2010,1,11
周杰伦_0_0,2000-2005,周杰伦,2011,2,35
周杰伦_0_0,2000-2005,周杰伦,2012,1,12
周杰伦_0_0,2000-2005,周杰伦,2014,1,12
周杰伦_0_0,2000-2005,周杰伦,2016,3,33
周杰伦_0_0,2000-2005,周杰伦,2018,2,2
周杰伦_0_0,2000-2005,周杰伦,2019,3,27
张杰_0_1,2000-2005,张杰,2005,1,10
张杰_0_1,2000-2005,张杰,2006,1,12
张杰_0_1,2000-2005,张杰,2007,1,4
张杰_0_1,2000-2005,张杰,2008,1,10
张杰_0_1,2000-2005,张杰,2009,1,7
张杰_0_1,2000-2005,张杰,2010,6,15
张杰_0_1,2000-2005,张杰,2011,4,14
张杰_0_1,2000-2005,张杰,2012,2,57
张杰_0_1,2000-2005,张杰,2013,1,9
张杰_0_1,2000-2005,张杰,2014,1,1
张杰_0_1,2000-2005,张杰,2015,7,21
张杰_0_1,2000-2005,张杰,2016,5,7
张杰_0_1,2000-2005,张杰,2017,3,3
张杰_0_1,2000-2005,张杰,2018,17,55
张杰_0_1,2000-2005,张杰,2019,8,36
杨坤_0_2,2000-2005,杨坤,2002,1,10
杨坤_0_2,2000-2005,杨坤,2003,1,10
杨坤_0_2,2000-2005,杨坤,2005,1,10
杨坤_0_2,2000-2005,杨坤,2007,2,12
杨坤_0_2,2000-2005,杨坤,2009,2,11
杨坤_0_2,2000-2005,杨坤,2010,1,9
杨坤_0_2,2000-2005,杨坤,2012,1,11
杨坤_0_2,2000-2005,杨坤,2013,2,2
杨坤_0_2,2000-2005,杨坤,2014,3,35
杨坤_0_2,2000-2005,杨坤,2016,2,2
杨坤_0_2,2000-2005,杨坤,2017,2,12
杨坤_0_2,2000-2005,杨坤,2018,1,1
杨坤_0_2,2000-2005,杨坤,2019,5,5
林俊杰_0_3,2000-2005,林俊杰,2003,1,11
林俊杰_0_3,2000-2005,林俊杰,2004,1,15
林俊杰_0_3,2000-2005,林俊杰,2005,1,12
林俊杰_0_3,2000-2005,林俊杰,2006,2,35
林俊杰_0_3,2000-2005,林俊杰,2007,3,42
林俊杰_0_3,2000-2005,林俊杰,2008,2,16
林俊杰_0_3,2000-2005,林俊杰,2009,1,13
林俊杰_0_3,2000-2005,林俊杰,2010,4,28
林俊杰_0_3,2000-2005,林俊杰,2011,2,41
林俊杰_0_3,2000-2005,林俊杰,2012,2,35
林俊杰_0_3,2000-2005,林俊杰,2013,1,12
林俊杰_0_3,2000-2005,林俊杰,2014,2,19
林俊杰_0_3,2000-2005,林俊杰,2015,6,24
林俊杰_0_3,2000-2005,林俊杰,2016,2,2
林俊杰_0_3,2000-2005,林俊杰,2017,5,16
林俊杰_0_3,2000-2005,林俊杰,2018,3,3
林俊杰_0_3,2000-2005,林俊杰,2019,5,6
蔡依林_0_4,2000-2005,蔡依林,2000,2,20
蔡依林_0_4,2000-2005,蔡依林,2001,2,26
蔡依林_0_4,2000-2005,蔡依林,2002,1,12
蔡依林_0_4,2000-2005,蔡依林,2003,3,42
蔡依林_0_4,2000-2005,蔡依林,2004,3,41
蔡依林_0_4,2000-2005,蔡依林,2005,3,60
蔡依林_0_4,2000-2005,蔡依林,2006,5,74
蔡依林_0_4,2000-2005,蔡依林,2007,4,77
蔡依林_0_4,2000-2005,蔡依林,2008,1,10
蔡依林_0_4,2000-2005,蔡依林,2009,3,51
蔡依林_0_4,2000-2005,蔡依林,2010,2,16
蔡依林_0_4,2000-2005,蔡依林,2012,5,89
蔡依林_0_4,2000-2005,蔡依林,2013,2,40
蔡依林_0_4,2000-2005,蔡依林,2014,3,22
蔡依林_0_4,2000-2005,蔡依林,2016,3,3
蔡依林_0_4,2000-2005,蔡依林,2017,4,4
蔡依林_0_4,2000-2005,蔡依林,2018,3,39
蔡依林_0_4,2000-2005,蔡依林,2019,2,2
周笔畅_1_0,2006-2010,周笔畅,2006,2,14
周笔畅_1_0,2006-2010,周笔畅,2007,3,21
周笔畅_1_0,2006-2010,周笔畅,2009,1,10
周笔畅_1_0,2006-2010,周笔畅,2010,3,13
周笔畅_1_0,2006-2010,周笔畅,2011,2,32
周笔畅_1_0,2006-2010,周笔畅,2012,1,2
周笔畅_1_0,2006-2010,周笔畅,2013,2,38
周笔畅_1_0,2006-2010,周笔畅,2014,2,2
周笔畅_1_0,2006-2010,周笔畅,2015,9,50
周笔畅_1_0,2006-2010,周笔畅,2016,5,5
周笔畅_1_0,2006-2010,周笔畅,2017,6,19
周笔畅_1_0,2006-2010,周笔畅,2018,7,13
周笔畅_1_0,2006-2010,周笔畅,2019,6,12
李荣浩_1_1,2006-2010,李荣浩,2010,1,2
李荣浩_1_1,2006-2010,李荣浩,2013,1,10
李荣浩_1_1,2006-2010,李荣浩,2014,2,12
李荣浩_1_1,2006-2010,李荣浩,2015,2,26
李荣浩_1_1,2006-2010,李荣浩,2016,1,11
李荣浩_1_1,2006-2010,李荣浩,2017,2,11
李荣浩_1_1,2006-2010,李荣浩,2018,2,11
李荣浩_1_1,2006-2010,李荣浩,2019,2,2
林宥嘉_1_2,2006-2010,林宥嘉,2008,2,23
林宥嘉_1_2,2006-2010,林宥嘉,2009,3,36
林宥嘉_1_2,2006-2010,林宥嘉,2010,2,34
林宥嘉_1_2,2006-2010,林宥嘉,2011,3,37
林宥嘉_1_2,2006-2010,林宥嘉,2012,1,15
林宥嘉_1_2,2006-2010,林宥嘉,2013,2,54
林宥嘉_1_2,2006-2010,林宥嘉,2014,1,2
林宥嘉_1_2,2006-2010,林宥嘉,2015,1,1
林宥嘉_1_2,2006-2010,林宥嘉,2016,4,16
林宥嘉_1_2,2006-2010,林宥嘉,2017,6,27
林宥嘉_1_2,2006-2010,林宥嘉,2018,5,20
林宥嘉_1_2,2006-2010,林宥嘉,2019,2,2
薛之谦_1_3,2006-2010,薛之谦,2006,1,10
薛之谦_1_3,2006-2010,薛之谦,2007,1,10
薛之谦_1_3,2006-2010,薛之谦,2008,2,10
薛之谦_1_3,2006-2010,薛之谦,2009,1,14
薛之谦_1_3,2006-2010,薛之谦,2012,1,9
薛之谦_1_3,2006-2010,薛之谦,2013,1,10
薛之谦_1_3,2006-2010,薛之谦,2015,2,6
薛之谦_1_3,2006-2010,薛之谦,2016,4,23
薛之谦_1_3,2006-2010,薛之谦,2017,1,10
薛之谦_1_3,2006-2010,薛之谦,2018,1,10
薛之谦_1_3,2006-2010,薛之谦,2019,1,10
邓紫棋_1_4,2006-2010,邓紫棋,2008,1,5
邓紫棋_1_4,2006-2010,邓紫棋,2009,2,28
邓紫棋_1_4,2006-2010,邓紫棋,2010,2,11
邓紫棋_1_4,2006-2010,邓紫棋,2011,4,55
邓紫棋_1_4,2006-2010,邓紫棋,2012,3,12
邓紫棋_1_4,2006-2010,邓紫棋,2013,6,51
邓紫棋_1_4,2006-2010,邓紫棋,2014,3,5
邓紫棋_1_4,2006-2010,邓紫棋,2015,1,10
邓紫棋_1_4,2006-2010,邓紫棋,2016,12,15
邓紫棋_1_4,2006-2010,邓紫棋,2017,4,4
邓紫棋_1_4,2006-2010,邓紫棋,2018,7,13
邓紫棋_1_4,2006-2010,邓紫棋,2019,3,15
TFBOYS_2_0,2010-2015,TFBOYS,2013,1,3
TFBOYS_2_0,2010-2015,TFBOYS,2014,4,7
TFBOYS_2_0,2010-2015,TFBOYS,2015,5,22
TFBOYS_2_0,2010-2015,TFBOYS,2016,3,3
TFBOYS_2_0,2010-2015,TFBOYS,2017,4,25
TFBOYS_2_0,2010-2015,TFBOYS,2018,2,21
TFBOYS_2_0,2010-2015,TFBOYS,2019,2,21
华晨宇_2_1,2010-2015,华晨宇,2013,1,1
华晨宇_2_1,2010-2015,华晨宇,2014,1,10
华晨宇_2_1,2010-2015,华晨宇,2015,3,14
华晨宇_2_1,2010-2015,华晨宇,2016,11,11
华晨宇_2_1,2010-2015,华晨宇,2017,7,7
华晨宇_2_1,2010-2015,华晨宇,2018,2,2
华晨宇_2_1,2010-2015,华晨宇,2019,2,2
周深_2_2,2010-2015,周深,2014,4,22
周深_2_2,2010-2015,周深,2015,3,3
周深_2_2,2010-2015,周深,2016,3,3
周深_2_2,2010-2015,周深,2017,9,18
