username,userlink,wbtext,time,likes,response,sentiment_category,sentiment_score
重庆花泽类的原味薯片啦,https://weibo.com/6533558131,恭喜肖战恭喜光点，继续努力！,3月9日 23:25,43354,293,1,0.8468
不改名没会员,https://weibo.com/6131227465,上榜所有的音乐人都很优秀，为肖战光点上榜骄傲,3月9日 23:25,39026,167,1,0.88
治愈日落·,https://weibo.com/5681923486,卧槽？牛逼啊！恭喜肖战的光点！,3月9日 23:26,7944,723,0,0.4599
OliviaDt·,https://weibo.com/3910556366,恭喜歌手肖战，万千光点，汇聚为银河的斑斓。万千爱意，交织成前行的力量。一切情谊，感念于心，未来依然会稳扎稳打，并肩同行。 加油@X玖少年团肖战DAYTOY ​​​,3月9日 23:30,26066,15,1,0.9275
OliviaDt·,https://weibo.com/3910556366,恭喜肖战！不得不说一句牛逼！早晚每天都听的歌！《光点》很喜欢,3月9日 23:31,24002,6,1,0.8821
霄月葵时雨,https://weibo.com/freeash,恭喜光点，恭喜肖战，We are made to love,3月9日 23:26,4332,55,1,0.89
·呆桃夢遊紀·,https://weibo.com/5674202817,恭喜肖战！恭喜光点,3月9日 23:25,16037,0,1,0.7833
一野桃酥,https://weibo.com/5992829767,"IFPI(国际唱片协会)  该数据结合全年实销,流媒及单曲折算销量，而《光点》仅作为数字单曲，在🈚️实体🈚️海外发行加成的情况下，就取得了第七的好成绩 肖战光点好棒！",3月9日 23:38,11172,32,1,0.8892
Freedom·肖戰,https://weibo.com/zdjzyd2011,恭喜光点，恭喜肖战@X玖少年团肖战DAYTOY,3月9日 23:27,10059,0,1,0.91
李小抽一起抽iz,https://weibo.com/haehae813,“肖战成为该榜历史上唯一入榜的华语男歌手。 ​​​我必须说一句肖战厉害,3月9日 23:38,9772,11,0,0.6128
我糖分超标啦,https://weibo.com/3816065500,恭喜肖战！恭喜光点,3月9日 23:27,7395,1005,1,0.7833
他太可爱了呜呜呜,https://weibo.com/6769537970,恭喜肖战 希望大家多多支持付费音乐 维护良好的版权环境，这样就会有越来越多的中文歌和歌手站在国际的榜单上了,3月9日 23:34,5360,11,1,0.778
Z姵姵,https://weibo.com/1000014430,恭喜肖战，光点好听，光一直在 we are made to love,3月9日 23:38,6473,0,1,0.8943
小张的魔法棒变不出红烧肉,https://weibo.com/5182407716,第七名是陈情令魏无羡那个演员吗？是电视剧斗罗大陆那个唐三吗？厉害了，竟然在这里看到了一名中国籍男演员的好成绩🤓恭喜ヾ ^_^♪,3月9日 23:45,5766,54,0,0.4128
老娘很霸气_xz,https://weibo.com/3549480612,恭喜《光点》恭喜肖战，为你们骄傲！@X玖少年团肖战DAYTOY,3月9日 23:41,1186,7,1,0.914
吃貨s密達,https://weibo.com/3126504683,恭喜肖战,3月9日 23:25,5424,2,1,0.7932
吃貨s密達,https://weibo.com/3126504683,恭喜肖战,3月9日 23:25,5424,2,1,0.7932
换个圈圈肖铅笔,https://weibo.com/6490038727,音乐小白不太懂这个榜单，但我很喜欢这首歌，这首歌和其他我喜欢的歌意义不同，这首歌在2020给了我很大的力量，支撑我走过最难的日子。为好音乐付费，我很荣幸。,3月9日 23:41,4474,6,1,0.7932
活到六十岁_,https://weibo.com/6562457087,恭喜光点，恭喜肖战，继续努力，越来越好,3月9日 23:32,843,0,1,0.8556
冰点_飞飞,https://weibo.com/6317515283,哈哈光点争气,3月9日 23:29,4596,0,0,0.3794
LilyAnn1121,https://weibo.com/1287829603,看到中国人名字出现在IFPI这个权威榜单上就是很骄傲！！！,3月9日 23:53,3781,3,1,0.7966
顾魏家的颖颖er,https://weibo.com/7271757945,哇恭喜肖战,3月9日 23:37,3817,0,1,0.8357
幽兰陵兰,https://weibo.com/6309138421,恭喜肖战！,3月9日 23:27,4161,0,1,0.8183
呆桃味奶糖y,https://weibo.com/3703047951,恭喜肖战！唯一华语男歌手！肖战厉害！光点,3月9日 23:38,3616,0,0,0.6903
有你就好-zz,https://weibo.com/2933274973,恭喜肖战，光点很棒啊，也很好听。,3月9日 23:33,3742,0,1,0.9003
星星没你亮1005肖哥你最棒,https://weibo.com/3277731251,肖战光点出息了，恭喜肖战,3月9日 23:36,3907,0,0,0.5451
十贰月·,https://weibo.com/3162266124,榜上人都好优秀，还有中国人厉害👍,3月9日 23:37,3444,0,1,0.8842
想有钱的小兔兔,https://weibo.com/5779298236,恭喜肖战，也恭喜榜单上的音乐人，都超厉害的,3月9日 23:34,3857,0,1,0.8919
西瓜坚果丕,https://weibo.com/6197007780,恭喜肖战恭喜光点，继续努力！,3月9日 23:26,3453,0,1,0.8468
蛐蛐儿_Sean,https://weibo.com/6339330549,恭喜肖战，恭喜肖战的《光点》，自建榜以来前十唯一的华语男歌手，未来也将继续支持肖战更多的作品,3月9日 23:39,3309,0,1,0.8746
