group,no,name,type,length,left,listened,published_date,today_date
A,1,互联网“打工人”的“囚徒困境”怎么解？,科技,73,53,20,2021/6/17,2021/6/20
A,2,山东啊山东，我的故乡,杂七杂八,87,38,49,2021/3/11,2021/6/20
A,3,社会学者解读恋情与家庭,性别,71,40,31,2020/7/12,2021/6/20
A,4,专访flomo少楠：宇宙希望我们成为普通的人，创造是我们反抗的手段,科技,65,64,1,2021/5/28,2021/6/20
A,5,Corporate Cowardice,科技,55,41,14,2021/5/27,2021/6/20
A,6,The app store war,科技,47,46,1,2021/5/8,2021/6/20
A,7,自然膨胀 01 | 关于大脑，我们知道我们一无所知,科技,116,101,15,2021/4/17,2021/6/20
A,8,陈英 x 吴琦：译者才是真正的时间管理大师,杂七杂八,66,65,1,2021/4/15,2021/6/20
A,9,带走记忆的阿尔兹海默病：药物、护理及衰老,杂七杂八,56,51,5,2021/2/21,2021/6/20
A,10,协和张羽：最佳育龄？生育之痛？女性要过无怨无悔的生活,性别,81,81,0,2021/3/5,2021/6/20
B,11,詹青云：性别意识有了就不会再消失，判断是非需要法律更需要人性,性别,67,65,2,2021/3/1,2021/6/20
B,12,The Blackout in Texas,政治,27,18,9,2021/2/17,2021/6/20
B,13,你的外卖，算法等待,科技,59,56,3,2020/9/9,2021/6/20
B,14,Insights from a personal project that blew up,个人知识,38,31,7,2021/2/16,2021/6/20
B,15,Inside Facebook's Decision to Ban Trump,科技,46,32,14,2021/2/10,2021/6/20
B,16,What kind of Message is That?': How Republicans See the Attack on the Capital ,政治,32,32,0,2021/1/19,2021/6/20
B,17,对话导演黄梓：《小伟》关于生死，也是一家三口的成长故事,影视,68,67,1,2021/1/30,2021/6/20
B,18,小语种剧入门指南：德、法、意、瑞典、以色列、西班牙、土耳其……的好故事,影视,96,93,3,2021/1/25,2021/6/20
B,19,Steve说218期 - 我是如何找回迷失的自我的,个人知识,47,32,15,2021/1/14,2021/6/20
B,20,个人知识管理体系系列 - 输入篇,个人知识,85,53,32,2021/1/1,2021/6/20
C,21,被绞杀的真相，被议论的女人们,影视,57,55,2,2021/1/13,2021/6/20
C,22,《王冠》之下 英国王室的前世今生,影视,70,65,5,2020/12/12,2021/6/20
C,23,Attention Shoppers: You've Being Tracked,科技,28,25,3,2020/12/19,2021/6/20
C,24,《黑镜》主创带你回顾2020：Death to 2020,影视,56,54,2,2020/12/31,2021/6/20
C,25,津津有味：保健品的盛宴、恶评和真相,杂七杂八,102,101,1,2020/12/14,2021/6/20
C,26,特稿该多谈点“真问题”,个人知识,59,43,16,2020/12/8,2021/6/20
C,27,社群这个时髦，你打算怎么赶,杂七杂八,57,55,2,2020/12/9,2021/6/20
C,28,The Most Important Book I've Read This Year,政治,96,60,36,2020/11/30,2021/6/20
C,29,未来生活001 | 用消费为一个想要的世界投票？,杂七杂八,92,81,11,2020/11/28,2021/6/20
C,30,和焦虑共处的现代人：你不必解决焦虑，让情绪飞一会,个人知识,70,61,9,2020/12/1,2021/6/20
D,31,When the Camera Turns on Police,科技,17,17,0,2020/11/18,2021/6/20
D,32,Best of: Alison Gopnik changed how I think about love,科技,94,82,12,2020/11/26,2021/6/20
D,33,多一种语言，就多一副盔甲,个人知识,53,25,28,2020/11/13,2021/6/20
D,34,The never ending election story,政治,55,52,3,2020/11/11,2021/6/20
D,35,“博物馆”热了，可到底该怎么观看？,杂七杂八,59,29,30,2020/10/30,2021/6/20
D,36,Hacking The Perfect Auction,杂七杂八,24,21,3,2020/11/7,2021/6/20
D,37,解码《半泽直树2》：白衣骑士与野蛮人,影视,67,59,8,2020/9/4,2021/6/20
D,38,The Joe Biden experience,政治,67,68,1,2020/11/8,2021/6/20
D,39,Democracy lost,政治,54,54,0,2020/11/6,2021/6/20
D,40,The Field: The Shy Biden Voters Among Florida's Seniors,政治,42,31,11,2020/10/30,2021/6/20
E,41,All Podcasts Are Political,政治,55,53,2,2020/11/4,2021/6/20
E,42,Election Day Special,政治,67,24,43,2020/11/4,2021/6/20
E,43,西川：冒着失败的危险写作，诚实地做一个当代人,杂七杂八,58,36,22,2020/10/30,2021/6/20
E,44,What Economy Are You Voting For?,政治,17,17,0,2020/10/31,2021/6/20
E,45,是时候解释下“对外汉语”了,杂七杂八,51,38,13,2020/10/20,2021/6/20
E,46,EmTech Stage: Facebook's CTO on Misinformation,科技,18,18,0,2020/10/29,2021/6/20
E,47,跟冯大辉聊聊做互联网的一些大观察和小感触,科技,76,49,27,2020/10/24,2021/6/20
E,48,Newsletter又红了，这次它能拯救新闻业吗？,科技,65,64,1,2020/10/20,2021/6/20
E,49,接受父母帮助后的隐性代价,个人知识,42,41,1,2020/10/22,2021/6/20
E,50,世界人民上厕所！,杂七杂八,72,40,32,2020/9/28,2021/6/20
F,51,沈大成对话葛宇路：小职员作家的人生信条,杂七杂八,104,64,40,2020/10/12,2021/6/20
F,52,AI Reads Human Emotions. Should It?,科技,23,2,21,2020/10/7,2021/6/20
F,53,Political Ad Nauseam,杂七杂八,22,22,0,2020/10/10,2021/6/20
F,54,基础代谢受损有救吗？暴食怎么治？答疑粉丝留言,个人知识,57,49,8,2020/4/10,2021/6/20
F,55,"A dark, dangerous debate",政治,74,49,25,2020/9/30,2021/6/20
F,56,Welcome to the Thunderdome,政治,42,42,0,2020/10/2,2021/6/20
F,57,Democratic convention special,政治,64,62,2,2020/8/22,2021/6/20
F,58,为什么我们都记账，但依旧不会理财,个人知识,67,66,1,2020/6/7,2021/6/20
F,59,时代の眼泪：iPhone之前，我们都玩文曲星,科技,45,35,10,2020/5/3,2021/6/20
F,60,中美互联网公司对比：好像差不多，有些不能说,科技,86,85,1,2020/4/9,2021/6/20
