rhymes_word,count,song,song_num,rhymes_this
里,7798,张信哲-难道、 满文军-最近最远的人、 阿悄-小背叛、 费玉清-奈何、 高凌风-老爷车,7606.0,i
自己,7696,Tank-是谁、 蔡琴-出人头地、 林忆莲-苦难中的少年、 郭子-亲爱的妈咪、 许茹芸-给我一分钟不想你,3463.0,i
美丽,3008,张信哲-难道、 容祖儿-新贵、 张清芳-呼喊快乐、 范文芳-爱上了你、 尚雯婕-有了爱,1621.0,i
回忆,2982,胡夏-黑框眼镜、 苏有朋-逃兵、 胡彦斌-不是不想、 姜育恒-我找到自己、 庾澄庆-下个雨季,1622.0,i
忘记,2960,陈瑞-鱼水情歌、 樊桐舟-雪花、 庾澄庆-下个雨季、 张震岳-乾妹妹、 黄妃-黄昏的故乡,1477.0,i
起,2641,蔡琴-出人头地、 乌兰图雅-红红火火中国年、 阿兰-迷失的礼福、 谭咏麟-感情回归、 许志安-了不起,6013.0,i
在一起,2628,费玉清-奈何、 韩宝仪-默许、 光良-勇气、 陈瑞-鱼水情歌、 方力申-皇后,1201.0,i
哭泣,1928,张信哲-难道、 许茹芸-没有你的圣诞节、 彭羚-我不要、 C AllStar-新预言书、 苏有朋-逃兵,997.0,i
心里,1898,满文军-最近最远的人、 林忆莲-无声约会、 樊桐舟-雪花、 郭富城-守护你、 曾路得-你又可知我,1086.0,i
哪里,1792,龙飘飘-爱在那里爱、 钟立风-黑鸟，你在哪里、 王力宏-眼睛、 庾澄庆-下个雨季、 毕书尽-好想要,844.0,i
分离,1778,费玉清-奈何、 陈瑞-鱼水情歌、 韩宝仪-又是细雨、 龙飘飘-离情、 齐秦-窗外,984.0,i
放弃,1752,郑智化-我的、 光良-勇气、 张国荣-想你、 满江-多变的海、 王力宏-CrossFire,961.0,i
地,1542,蔡琴-出人头地、 满文军-最近最远的人、 阿悄-小背叛、 容中尔甲-九寨之恋、 邓健泓-7:30 P.M.,6082.0,i
事,1516,关淑怡-自言自语、 钟镇涛-如你说以后、 洛天依-元宵吃货节、 郑伊健-怕甚么，甚么都不怕、 梁咏琪-气流,3221.0,i
一次,1438,毛阿敏-投入地爱一次、 陈盈洁-嘉年华、 李克勤-投奔爱海 - Album Version、 林子祥-真的汉子+史泰龙Lambo、 苏芮-共你爸爸再会时,696.0,i
勇气,1435,胡夏-黑框眼镜、 郑智化-我的、 光良-勇气、 张清芳-呼喊快乐、 范文芳-爱上了你,799.0,i
呼吸,1427,"张清芳-呼喊快乐、 范文芳-爱上了你、 庾澄庆-下个雨季、 陈奕迅-掏空、 ""李玟-Im Still in Love""",919.0,i
时,1396,乌兰图雅-红红火火中国年、 柯以敏-答应我好吗、 许嵩-幻听、 刘若英-一辈子的孤单、 黄思婷-般若波罗密多心经,5801.0,i
故事,1387,关淑怡-自言自语、 王筝-爱情一直在经过、 樊桐舟-童话、 那英-一切都变了、 何星烁RapStar-这四年,902.0,i
心底,1377,何星烁RapStar-星、 张清芳-呼喊快乐、 陈慧娴-飘、 胡彦斌-不是不想、 Mc阳子-佛说,775.0,i
可以,1374,许茹芸-给我一分钟不想你、 范文芳-爱上了你、 林凡-不一定、 范星光-不要再来伤害我、 苏芮-共你爸爸再会时,766.0,i
知,1331,陈百强-亲爱的你、 张洪量-心碎、 陈瑞-正好、 smile-小千-最负多情、 梅艳芳-莫问起,3925.0,i
记忆,1329,王筝-爱情一直在经过、 陈瑞-鱼水情歌、 胡彦斌-不是不想、 郭富城-守护你、 乌兰图雅-响沙情歌,765.0,i
甜蜜,1281,"陈瑞-鱼水情歌、 ""李玟-Im Still in Love""、 崔子格-招财猫、 本兮-怎么办我想你、 胡彦斌-告诉我",779.0,i
开始,1277,王筝-爱情一直在经过、 梅艳芳-莫问起、 王力宏-CrossFire、 那英-一切都变了、 夏天Alex-爱河 ,717.0,i
这里,1271,陈慧琳-离开、 陈慧娴-飘、 张清芳-对话练习、 苏有朋-逃兵、 郭富城-守护你,667.0,i
珍惜,1256,张宇-大女人、 陈小云-一缕相思情+飘香梦+梨花泪、 夏天Alex-盘旋、 邰正宵-阳光住在我心里、 黑龙-为爱逃亡,675.0,i
距离,1190,张信哲-难道、 王筝-爱情一直在经过、 王力宏-CrossFire、 陈绮贞-距离、 夏天Alex-盘旋,701.0,i
意义,1177,Tank-是谁、 张洪量-昙花、 郑伊健-怕甚么，甚么都不怕、 光良-勇气、 王筝-爱情一直在经过,727.0,i
一起,1169,谭咏麟-感情回归、 费玉清-奈何、 韩宝仪-默许、 光良-勇气、 陈瑞-鱼水情歌,1844.0,i
死,1043,陶晶莹-你本来就美、 张国荣-想你、 林忆莲-决绝、 庾澄庆-下个雨季、 李维-女人的选择,1502.0,i
地方,3226,阿悄-小背叛、 容中尔甲-九寨之恋、 黎明-不羁的感情、 杨千嬅-BOOM BA EH、 李维-让,1525.0,ang
上,2861,陈绮贞-鱼、 刘家昌-海鸥、 徐小凤-唉!往事何苦提、 林忆莲-苦难中的少年、 梁汉文-烟火旅馆,5548.0,ang
一样,2843,"刘家昌-海鸥、 ""郑秀文-Its Too Late""、 张冬玲-在等待、 彭羚-板凳、 本兮-怎么办我想你",1374.0,ang
身旁,2410,大哲-不朽之光、 卓依婷-浪迹天涯、 林淑容-我怎麽哭了、 康康-兵变、 林宥嘉-推动摇篮的手,1251.0,ang
