rhymes_word,count,song,song_num,rhymes_this
里,7798,张信哲_难道\满文军_最近最远的人\阿悄_小背叛\费玉清_奈何\高凌风_老爷车,7603.0,i
自己,7696,Tank_是谁\蔡琴_出人头地\林忆莲_苦难中的少年\郭子_亲爱的妈咪\许茹芸_给我一分钟不想你,3461.0,i
美丽,3008,张信哲_难道\容祖儿_新贵\张清芳_呼喊快乐\范文芳_爱上了你\尚雯婕_有了爱,1620.0,i
回忆,2982,胡夏_黑框眼镜\苏有朋_逃兵\胡彦斌_不是不想\姜育恒_我找到自己\庾澄庆_下个雨季,1621.0,i
忘记,2960,陈瑞_鱼水情歌\樊桐舟_雪花\庾澄庆_下个雨季\张震岳_乾妹妹\黄妃_黄昏的故乡,1477.0,i
起,2641,蔡琴_出人头地\乌兰图雅_红红火火中国年\阿兰_迷失的礼福\谭咏麟_感情回归\许志安_了不起,6010.0,i
在一起,2628,费玉清_奈何\韩宝仪_默许\光良_勇气\陈瑞_鱼水情歌\方力申_皇后,1200.0,i
哭泣,1928,张信哲_难道\许茹芸_没有你的圣诞节\彭羚_我不要\C AllStar_新预言书\苏有朋_逃兵,997.0,i
心里,1898,满文军_最近最远的人\林忆莲_无声约会\樊桐舟_雪花\郭富城_守护你\曾路得_你又可知我,1086.0,i
哪里,1792,龙飘飘_爱在那里爱\钟立风_黑鸟，你在哪里\王力宏_眼睛\庾澄庆_下个雨季\毕书尽_好想要,844.0,i
分离,1778,费玉清_奈何\陈瑞_鱼水情歌\韩宝仪_又是细雨\龙飘飘_离情\齐秦_窗外,984.0,i
放弃,1752,郑智化_我的\光良_勇气\张国荣_想你\满江_多变的海\王力宏_CrossFire,961.0,i
地,1542,蔡琴_出人头地\满文军_最近最远的人\阿悄_小背叛\容中尔甲_九寨之恋\邓健泓_7:30 P.M.,6081.0,i
事,1516,关淑怡_自言自语\钟镇涛_如你说以后\洛天依_元宵吃货节\郑伊健_怕甚么，甚么都不怕\梁咏琪_气流,3215.0,i
一次,1438,毛阿敏_投入地爱一次\陈盈洁_嘉年华\李克勤_投奔爱海 - Album Version\林子祥_真的汉子+史泰龙Lambo\苏芮_共你爸爸再会时,696.0,i
勇气,1435,胡夏_黑框眼镜\郑智化_我的\光良_勇气\张清芳_呼喊快乐\范文芳_爱上了你,799.0,i
呼吸,1427,张清芳_呼喊快乐\范文芳_爱上了你\庾澄庆_下个雨季\陈奕迅_掏空', ""李玟_I'm Still in Love""]",919.0,i
时,1396,乌兰图雅_红红火火中国年\柯以敏_答应我好吗\许嵩_幻听\刘若英_一辈子的孤单\黄思婷_般若波罗密多心经,5801.0,i
故事,1387,关淑怡_自言自语\王筝_爱情一直在经过\樊桐舟_童话\那英_一切都变了\何星烁RapStar_这四年,902.0,i
心底,1377,何星烁RapStar_星\张清芳_呼喊快乐\陈慧娴_飘\胡彦斌_不是不想\Mc阳子_佛说,775.0,i
可以,1374,许茹芸_给我一分钟不想你\范文芳_爱上了你\林凡_不一定\范星光_不要再来伤害我\苏芮_共你爸爸再会时,766.0,i
知,1331,陈百强_亲爱的你\张洪量_心碎\陈瑞_正好\smile_小千_最负多情\梅艳芳_莫问起,3922.0,i
记忆,1329,王筝_爱情一直在经过\陈瑞_鱼水情歌\胡彦斌_不是不想\郭富城_守护你\乌兰图雅_响沙情歌,765.0,i
甜蜜,1281,陈瑞_鱼水情歌', ""李玟_I'm Still in Love"", '崔子格_招财猫\本兮_怎么办我想你\胡彦斌_告诉我,779.0,i
开始,1277,王筝_爱情一直在经过\梅艳芳_莫问起\王力宏_CrossFire\那英_一切都变了\夏天Alex_爱河 ,717.0,i
这里,1271,陈慧琳_离开\陈慧娴_飘\张清芳_对话练习\苏有朋_逃兵\郭富城_守护你,667.0,i
珍惜,1256,张宇_大女人\陈小云_一缕相思情+飘香梦+梨花泪\夏天Alex_盘旋\邰正宵_阳光住在我心里\黑龙_为爱逃亡,675.0,i
距离,1190,张信哲_难道\王筝_爱情一直在经过\王力宏_CrossFire\陈绮贞_距离\夏天Alex_盘旋,701.0,i
意义,1177,Tank_是谁\张洪量_昙花\郑伊健_怕甚么，甚么都不怕\光良_勇气\王筝_爱情一直在经过,727.0,i
一起,1169,谭咏麟_感情回归\费玉清_奈何\韩宝仪_默许\光良_勇气\陈瑞_鱼水情歌,1843.0,i
死,1043,陶晶莹_你本来就美\张国荣_想你\林忆莲_决绝\庾澄庆_下个雨季\李维_女人的选择,1502.0,i
地方,3226,阿悄_小背叛\容中尔甲_九寨之恋\黎明_不羁的感情\杨千嬅_BOOM BA EH\李维_让,1525.0,ang
上,2861,陈绮贞_鱼\刘家昌_海鸥\徐小凤_唉!往事何苦提\林忆莲_苦难中的少年\梁汉文_烟火旅馆,5543.0,ang
一样,2843,刘家昌_海鸥', ""郑秀文_It's Too Late"", '张冬玲_在等待\彭羚_板凳\本兮_怎么办我想你,1373.0,ang
